,Entidad,Tipo de delito,2015,2016,2017,2018,2019,2020,Total
0,Aguascalientes,Robo,10719.0,11412.0,15205.0,15697.0,12988.0,2088.0,68109.0
1,Baja California,Robo,48838.0,48708.0,51385.0,40705.0,37180.0,5770.0,232586.0
2,Baja California Sur,Robo,9113.0,11365.0,10797.0,10350.0,8625.0,1235.0,51485.0
3,Campeche,Robo,858.0,1091.0,883.0,981.0,1063.0,179.0,5055.0
4,Chiapas,Robo,7930.0,8996.0,9160.0,9336.0,6410.0,758.0,42590.0
5,Chihuahua,Robo,16139.0,13473.0,17366.0,16509.0,16186.0,2617.0,82290.0
6,Ciudad de México,Robo,77435.0,81555.0,102714.0,123514.0,109429.0,16113.0,510760.0
7,Coahuila,Robo,13140.0,10628.0,10438.0,8866.0,6653.0,1010.0,50735.0
8,Colima,Robo,2986.0,7086.0,8336.0,8163.0,7547.0,1145.0,35263.0
9,Durango,Robo,10363.0,9835.0,11158.0,10629.0,10060.0,1837.0,53882.0
10,Guanajuato,Robo,31655.0,35063.0,39809.0,42982.0,42732.0,7024.0,199265.0
11,Guerrero,Robo,12600.0,11613.0,10286.0,8383.0,7564.0,1295.0,51741.0
12,Hidalgo,Robo,9866.0,11403.0,14400.0,14641.0,14873.0,2600.0,67783.0
13,Jalisco,Robo,27501.0,58804.0,88606.0,85035.0,76243.0,10529.0,346718.0
14,Michoacán,Robo,16001.0,16313.0,18262.0,18611.0,17106.0,2724.0,89017.0
15,Morelos,Robo,20564.0,19641.0,17686.0,17313.0,16301.0,2759.0,94264.0
16,México,Robo,94406.0,98498.0,161155.0,167529.0,157281.0,24883.0,703752.0
17,Nayarit,Robo,1468.0,795.0,584.0,1172.0,735.0,149.0,4903.0
18,Nuevo León,Violencia familiar,17062.0,17773.0,17145.0,16410.0,16339.0,2570.0,87299.0
19,Oaxaca,Robo,1737.0,9919.0,10887.0,12541.0,13153.0,2147.0,50384.0
20,Puebla,Robo,23166.0,21691.0,29621.0,32477.0,35887.0,4590.0,147432.0
21,Querétaro,Robo,17633.0,22119.0,27020.0,27836.0,26816.0,4283.0,125707.0
22,Quintana Roo,Robo,12652.0,7102.0,11441.0,14318.0,20050.0,3449.0,69012.0
23,San Luis Potosí,Robo,6033.0,7854.0,11850.0,13991.0,16495.0,2761.0,58984.0
24,Sinaloa,Robo,10115.0,8628.0,9885.0,8608.0,7155.0,1105.0,45496.0
25,Sonora,Robo,9997.0,16021.0,10456.0,7470.0,7291.0,1764.0,52999.0
26,Tabasco,Robo,18091.0,23178.0,25469.0,25059.0,20167.0,2940.0,114904.0
27,Tamaulipas,Robo,19273.0,15541.0,16175.0,14098.0,13019.0,1883.0,79989.0
28,Tlaxcala,Robo,4736.0,4703.0,5360.0,4296.0,2822.0,380.0,22297.0
29,Veracruz,Robo,17841.0,16902.0,28262.0,23595.0,21963.0,4390.0,112953.0
30,Yucatán,Amenazas,5550.0,6619.0,4298.0,1701.0,3372.0,451.0,21991.0
31,Zacatecas,Robo,7386.0,7047.0,7348.0,7733.0,7378.0,1303.0,38195.0
